Package ID,City,Pincode,Ship Date,Delivery Date,Status,Partner,Delay Reason,Delivery Time (hrs),Latitude,Longitude
PKG18,Nashik,422001,2024-06-05,2024-06-06,Delayed,Delhivery,Traffic,24.0,19.9975,73.7898
PKG19,Nagpur,440004,2024-06-16,2024-06-19,Delivered,XpressBees,,72.0,21.16,79.1
PKG20,Nagpur,440004,2024-06-13,2024-06-15,Delivered,XpressBees,,48.0,21.16,79.1
PKG21,Nashik,422001,2024-06-28,2024-06-30,Delivered,XpressBees,,48.0,19.9975,73.7898
PKG22,Nashik,422003,2024-06-09,2024-06-10,Delivered,Ekart,,24.0,20.005,73.795
PKG23,Nashik,422004,2024-06-25,2024-06-27,Delivered,BlueDart,,48.0,20.01,73.8
PKG24,Nagpur,440003,2024-06-09,2024-06-11,Delayed,Ekart,Address Not Found,48.0,21.15,79.09
PKG25,Nagpur,440002,2024-06-23,2024-06-26,Delayed,Delhivery,Address Not Found,72.0,21.1466,79.0849
PKG26,Nashik,422001,2024-06-13,2024-06-15,Delivered,BlueDart,,48.0,19.9975,73.7898
PKG27,Nashik,422002,2024-06-07,2024-06-09,Delivered,Ekart,,48.0,20.002,73.79
PKG28,Nashik,422003,2024-06-16,2024-06-17,Delayed,BlueDart,Weather,24.0,20.005,73.795
PKG29,Nashik,422001,2024-06-21,2024-06-22,Delayed,BlueDart,Address Not Found,24.0,19.9975,73.7898
PKG30,Nashik,422003,2024-06-08,2024-06-10,Delivered,Ekart,,48.0,20.005,73.795
PKG31,Nashik,422003,2024-06-30,2024-07-03,Delivered,Delhivery,,72.0,20.005,73.795
PKG32,Nashik,422003,2024-06-12,2024-06-13,Delivered,Delhivery,,24.0,20.005,73.795
PKG33,Nashik,422003,2024-06-25,2024-06-26,Delivered,BlueDart,,24.0,20.005,73.795
PKG34,Nashik,422001,2024-06-22,2024-06-24,Delivered,BlueDart,,48.0,19.9975,73.7898
PKG35,Nagpur,440001,2024-06-14,2024-06-17,Delivered,BlueDart,,72.0,21.1458,79.0882
PKG36,Nashik,422001,2024-06-06,2024-06-09,Failed,Delhivery,Address Not Found,72.0,19.9975,73.7898
PKG37,Nagpur,440001,2024-06-25,2024-06-26,Failed,Delhivery,Address Not Found,24.0,21.1458,79.0882
PKG38,Nagpur,440002,2024-06-02,2024-06-05,Delivered,Ekart,,72.0,21.1466,79.0849
PKG39,Nashik,422003,2024-06-12,2024-06-15,Delivered,Delhivery,,72.0,20.005,73.795
PKG40,Nashik,422004,2024-06-07,2024-06-10,Delivered,XpressBees,,72.0,20.01,73.8
PKG41,Nagpur,440002,2024-06-02,2024-06-05,Delivered,BlueDart,,72.0,21.1466,79.0849
PKG42,Nashik,422001,2024-06-24,2024-06-27,Delivered,XpressBees,,72.0,19.9975,73.7898
PKG43,Nagpur,440003,2024-06-23,2024-06-25,Delivered,Delhivery,,48.0,21.15,79.09
PKG44,Nashik,422003,2024-06-06,2024-06-07,Delayed,Ekart,Holiday,24.0,20.005,73.795
PKG45,Nagpur,440004,2024-06-12,2024-06-13,Delivered,Ekart,,24.0,21.16,79.1
PKG46,Nagpur,440003,2024-06-12,2024-06-15,Delivered,XpressBees,,72.0,21.15,79.09
PKG47,Nagpur,440004,2024-06-03,2024-06-05,Delivered,Ekart,,48.0,21.16,79.1
PKG48,Nashik,422001,2024-06-25,2024-06-26,Delivered,BlueDart,,24.0,19.9975,73.7898
PKG49,Nashik,422003,2024-06-17,2024-06-19,Delivered,Ekart,,48.0,20.005,73.795
PKG50,Nagpur,440004,2024-06-17,2024-06-18,Delayed,XpressBees,Address Not Found,24.0,21.16,79.1
PKG51,Nagpur,440001,2024-06-03,2024-06-06,Delayed,Ekart,Holiday,72.0,21.1458,79.0882
PKG52,Nagpur,440001,2024-06-17,2024-06-20,Delayed,Ekart,Address Not Found,72.0,21.1458,79.0882
PKG53,Nashik,422002,2024-06-15,2024-06-17,Delivered,Ekart,,48.0,20.002,73.79
PKG54,Nashik,422004,2024-06-12,2024-06-15,Delivered,XpressBees,,72.0,20.01,73.8
PKG55,Nashik,422004,2024-06-21,2024-06-23,Failed,XpressBees,Traffic,48.0,20.01,73.8
PKG56,Nashik,422002,2024-06-21,2024-06-23,Delayed,Delhivery,Traffic,48.0,20.002,73.79
PKG57,Nashik,422001,2024-06-29,2024-06-30,Delivered,BlueDart,,24.0,19.9975,73.7898
PKG58,Nashik,422004,2024-06-03,2024-06-04,Delivered,XpressBees,,24.0,20.01,73.8
PKG59,Nashik,422001,2024-06-01,2024-06-03,Delivered,BlueDart,,48.0,19.9975,73.7898
PKG60,Nashik,422002,2024-06-14,2024-06-17,Delivered,BlueDart,,72.0,20.002,73.79
PKG61,Nagpur,440001,2024-06-28,2024-07-01,Delivered,BlueDart,,72.0,21.1458,79.0882
PKG62,Nashik,422002,2024-06-28,2024-07-01,Delayed,BlueDart,Weather,72.0,20.002,73.79
PKG63,Nashik,422003,2024-06-07,2024-06-09,Delivered,XpressBees,,48.0,20.005,73.795
PKG64,Nagpur,440004,2024-06-08,2024-06-09,Delivered,Delhivery,,24.0,21.16,79.1
PKG65,Nashik,422003,2024-06-10,2024-06-12,Delayed,Delhivery,Address Not Found,48.0,20.005,73.795
PKG66,Nashik,422002,2024-06-03,2024-06-06,Delivered,Ekart,,72.0,20.002,73.79
PKG67,Nagpur,440004,2024-06-18,2024-06-20,Delivered,Delhivery,,48.0,21.16,79.1
PKG68,Nashik,422001,2024-06-18,2024-06-19,Delivered,Ekart,,24.0,19.9975,73.7898
PKG69,Nagpur,440002,2024-06-11,2024-06-13,Delivered,BlueDart,,48.0,21.1466,79.0849
PKG70,Nashik,422003,2024-06-12,2024-06-15,Delivered,XpressBees,,72.0,20.005,73.795
PKG71,Nagpur,440001,2024-06-06,2024-06-07,Delivered,Delhivery,,24.0,21.1458,79.0882
PKG72,Nagpur,440001,2024-06-14,2024-06-16,Delivered,XpressBees,,48.0,21.1458,79.0882
PKG73,Nashik,422002,2024-06-08,2024-06-09,Delivered,XpressBees,,24.0,20.002,73.79
PKG74,Nagpur,440002,2024-06-01,2024-06-04,Delayed,Delhivery,Customer Unavailable,72.0,21.1466,79.0849
PKG75,Nashik,422002,2024-06-28,2024-06-29,Failed,BlueDart,Address Not Found,24.0,20.002,73.79
PKG76,Nagpur,440002,2024-06-19,2024-06-20,Delivered,XpressBees,,24.0,21.1466,79.0849
PKG77,Nashik,422001,2024-06-14,2024-06-16,Delivered,BlueDart,,48.0,19.9975,73.7898
PKG78,Nashik,422003,2024-06-30,2024-07-04,Delayed,BlueDart,Holiday,96.0,20.005,73.795
PKG79,Nagpur,440004,2024-06-11,2024-06-12,Delivered,XpressBees,,24.0,21.16,79.1
PKG80,Nagpur,440004,2024-06-30,2024-07-03,Failed,XpressBees,Weather,72.0,21.16,79.1
PKG81,Nashik,422001,2024-07-01,2024-07-02,Delayed,Ekart,Address Not Found,24.0,19.9975,73.7898
PKG82,Nagpur,440001,2024-06-27,2024-06-29,Delivered,BlueDart,,48.0,21.1458,79.0882
PKG83,Nagpur,440003,2024-07-01,2024-07-02,Failed,Delhivery,Holiday,24.0,21.15,79.09
PKG84,Nashik,422001,2024-06-29,2024-06-30,Delivered,Ekart,,24.0,19.9975,73.7898
PKG85,Nagpur,440001,2024-06-15,2024-06-16,Delivered,Delhivery,,24.0,21.1458,79.0882
PKG86,Nashik,422003,2024-06-10,2024-06-12,Delivered,Delhivery,,48.0,20.005,73.795
PKG87,Nashik,422004,2024-06-15,2024-06-17,Delayed,Delhivery,Customer Unavailable,48.0,20.01,73.8
PKG88,Nagpur,440001,2024-06-08,2024-06-09,Delivered,Ekart,,24.0,21.1458,79.0882
PKG89,Nagpur,440003,2024-06-14,2024-06-17,Delivered,Delhivery,,72.0,21.15,79.09
PKG90,Nagpur,440001,2024-06-16,2024-06-18,Delivered,Delhivery,,48.0,21.1458,79.0882
PKG91,Nashik,422001,2024-06-16,2024-06-19,Delivered,Delhivery,,72.0,19.9975,73.7898
PKG92,Nagpur,440001,2024-06-05,2024-06-08,Delayed,Ekart,,72.0,21.1458,79.0882
PKG93,Nashik,422002,2024-06-05,2024-06-08,Delayed,Ekart,,72.0,20.002,73.79
PKG94,Nashik,422001,2024-06-07,2024-06-09,Delivered,Delhivery,,48.0,19.9975,73.7898
PKG95,Nagpur,440001,2024-06-08,2024-06-11,Delayed,XpressBees,Address Not Found,72.0,21.1458,79.0882
PKG96,Nagpur,440003,2024-06-26,2024-06-29,Delivered,Ekart,,72.0,21.15,79.09
PKG97,Nashik,422004,2024-06-07,2024-06-10,Delivered,XpressBees,,72.0,20.01,73.8
PKG98,Nashik,422004,2024-06-26,2024-06-27,Delayed,BlueDart,Traffic,24.0,20.01,73.8
PKG99,Nashik,422002,2024-06-23,2024-06-25,Delivered,Ekart,,48.0,20.002,73.79
PKG100,Nashik,422003,2024-07-01,2024-07-05,Delivered,XpressBees,,96.0,20.005,73.795
PKG101,Nashik,422001,2024-06-08,2024-06-11,Delivered,Ekart,,72.0,19.9975,73.7898
PKG102,Nagpur,440002,2024-06-04,2024-06-07,Delivered,XpressBees,,72.0,21.1466,79.0849
PKG103,Nagpur,440003,2024-06-10,2024-06-12,Delivered,XpressBees,,48.0,21.15,79.09
PKG104,Nashik,422002,2024-06-03,2024-06-05,Failed,BlueDart,Weather,48.0,20.002,73.79
PKG105,Nagpur,440001,2024-06-18,2024-06-19,Delivered,Delhivery,,24.0,21.1458,79.0882
PKG106,Nagpur,440003,2024-06-17,2024-06-20,Delivered,Ekart,,72.0,21.15,79.09
PKG107,Nashik,422002,2024-06-02,2024-06-05,Delivered,Ekart,,72.0,20.002,73.79
PKG108,Nagpur,440003,2024-06-11,2024-06-14,Delivered,Ekart,,72.0,21.15,79.09
PKG109,Nagpur,440001,2024-06-14,2024-06-17,Delayed,Ekart,Address Not Found,72.0,21.1458,79.0882
PKG110,Nagpur,440002,2024-06-16,2024-06-19,Delivered,Delhivery,,72.0,21.1466,79.0849
PKG111,Nashik,422002,2024-06-21,2024-06-22,Delivered,BlueDart,,24.0,20.002,73.79
PKG112,Nagpur,440003,2024-06-03,2024-06-06,Delayed,Delhivery,Address Not Found,72.0,21.15,79.09
PKG113,Nagpur,440003,2024-06-25,2024-06-26,Delayed,Delhivery,Weather,24.0,21.15,79.09
PKG114,Nashik,422001,2024-06-27,2024-06-29,Delivered,XpressBees,,48.0,19.9975,73.7898
PKG115,Nagpur,440003,2024-06-03,2024-06-06,Delivered,Delhivery,,72.0,21.15,79.09
PKG116,Nagpur,440003,2024-06-08,2024-06-09,Delivered,BlueDart,,24.0,21.15,79.09
PKG117,Nagpur,440004,2024-06-30,2024-07-03,Delivered,BlueDart,,72.0,21.16,79.1
PKG118,Nagpur,440001,2024-06-29,2024-07-02,Delivered,BlueDart,,72.0,21.1458,79.0882
PKG119,Nashik,422001,2024-06-09,2024-06-12,Delivered,XpressBees,,72.0,19.9975,73.7898
PKG120,Nagpur,440002,2024-06-05,2024-06-07,Delivered,XpressBees,,48.0,21.1466,79.0849
PKG121,Nashik,422003,2024-06-08,2024-06-09,Delivered,XpressBees,,24.0,20.005,73.795
PKG122,Nagpur,440004,2024-06-23,2024-06-25,Delivered,XpressBees,,48.0,21.16,79.1
PKG123,Nagpur,440002,2024-06-06,2024-06-09,Delayed,XpressBees,Address Not Found,72.0,21.1466,79.0849
PKG124,Nagpur,440002,2024-07-01,2024-07-03,Delivered,BlueDart,,48.0,21.1466,79.0849
PKG125,Nagpur,440002,2024-06-20,2024-06-21,Delayed,Ekart,Traffic,24.0,21.1466,79.0849
PKG126,Nagpur,440004,2024-07-01,2024-07-04,Delivered,XpressBees,,72.0,21.16,79.1
PKG127,Nagpur,440004,2024-06-13,2024-06-14,Delivered,XpressBees,,24.0,21.16,79.1
PKG128,Nashik,422002,2024-06-13,2024-06-15,Failed,XpressBees,,48.0,20.002,73.79
PKG129,Nagpur,440004,2024-06-15,2024-06-18,Delayed,XpressBees,Weather,72.0,21.16,79.1
PKG130,Nashik,422004,2024-06-15,2024-06-17,Delivered,XpressBees,,48.0,20.01,73.8
PKG131,Nagpur,440001,2024-06-15,2024-06-16,Delivered,Ekart,,24.0,21.1458,79.0882
PKG132,Nagpur,440002,2024-06-05,2024-06-06,Delivered,BlueDart,,24.0,21.1466,79.0849
PKG133,Nashik,422002,2024-06-29,2024-07-01,Delivered,XpressBees,,48.0,20.002,73.79
PKG134,Nashik,422004,2024-06-06,2024-06-07,Delivered,Ekart,,24.0,20.01,73.8
PKG135,Nagpur,440001,2024-06-11,2024-06-12,Failed,Ekart,,24.0,21.1458,79.0882
PKG136,Nagpur,440001,2024-06-18,2024-06-21,Delivered,BlueDart,,72.0,21.1458,79.0882
PKG137,Nagpur,440004,2024-06-13,2024-06-16,Delayed,Ekart,Traffic,72.0,21.16,79.1
PKG138,Nashik,422004,2024-06-06,2024-06-07,Delayed,Delhivery,Weather,24.0,20.01,73.8
PKG139,Nagpur,440004,2024-06-06,2024-06-08,Delivered,Delhivery,,48.0,21.16,79.1
PKG140,Nagpur,440002,2024-06-08,2024-06-10,Delivered,Ekart,,48.0,21.1466,79.0849
PKG141,Nashik,422003,2024-06-12,2024-06-13,Delayed,XpressBees,Customer Unavailable,24.0,20.005,73.795
PKG142,Nashik,422002,2024-07-01,2024-07-03,Delivered,XpressBees,,48.0,20.002,73.79
PKG143,Nagpur,440001,2024-07-01,2024-07-02,Delivered,BlueDart,,24.0,21.1458,79.0882
PKG144,Nashik,422002,2024-06-21,2024-06-23,Failed,Delhivery,Customer Unavailable,48.0,20.002,73.79
PKG145,Nagpur,440002,2024-06-17,2024-06-18,Delivered,XpressBees,,24.0,21.1466,79.0849
PKG146,Nashik,422003,2024-06-25,2024-06-28,Failed,Ekart,Holiday,72.0,20.005,73.795
PKG147,Nashik,422001,2024-06-21,2024-06-22,Delivered,BlueDart,,24.0,19.9975,73.7898
PKG148,Nashik,422004,2024-06-07,2024-06-09,Delivered,XpressBees,,48.0,20.01,73.8
PKG149,Nagpur,440002,2024-06-17,2024-06-19,Delivered,Delhivery,,48.0,21.1466,79.0849
PKG150,Nashik,422004,2024-06-23,2024-06-25,Delivered,XpressBees,,48.0,20.01,73.8
PKG151,Nagpur,440004,2024-06-17,2024-06-21,Delivered,Delhivery,,96.0,21.16,79.1
PKG152,Nashik,422003,2024-06-26,2024-06-27,Delivered,XpressBees,,24.0,20.005,73.795
PKG153,Nagpur,440002,2024-06-28,2024-07-01,Delivered,Ekart,,72.0,21.1466,79.0849
PKG154,Nashik,422002,2024-06-28,2024-07-01,Delivered,XpressBees,,72.0,20.002,73.79
PKG155,Nagpur,440001,2024-06-13,2024-06-14,Failed,XpressBees,Address Not Found,24.0,21.1458,79.0882
PKG156,Nashik,422001,2024-06-01,2024-06-03,Delayed,XpressBees,Weather,48.0,19.9975,73.7898
PKG157,Nagpur,440004,2024-06-04,2024-06-07,Delivered,Delhivery,,72.0,21.16,79.1
PKG158,Nashik,422004,2024-06-10,2024-06-13,Failed,Delhivery,,72.0,20.01,73.8
PKG159,Nagpur,440002,2024-06-25,2024-06-27,Delivered,Delhivery,,48.0,21.1466,79.0849
PKG160,Nashik,422002,2024-06-17,2024-06-20,Delivered,BlueDart,,72.0,20.002,73.79
PKG161,Nagpur,440003,2024-06-05,2024-06-07,Delivered,Delhivery,,48.0,21.15,79.09
PKG162,Nashik,422002,2024-06-13,2024-06-16,Delivered,BlueDart,,72.0,20.002,73.79
PKG163,Nagpur,440003,2024-06-28,2024-07-01,Delivered,XpressBees,,72.0,21.15,79.09
PKG164,Nashik,422004,2024-06-28,2024-07-01,Delivered,BlueDart,,72.0,20.01,73.8
PKG165,Nashik,422002,2024-06-19,2024-06-22,Delivered,XpressBees,,72.0,20.002,73.79
PKG166,Nagpur,440004,2024-06-29,2024-07-02,Delivered,BlueDart,,72.0,21.16,79.1
PKG167,Nagpur,440002,2024-06-07,2024-06-09,Delivered,BlueDart,,48.0,21.1466,79.0849
PKG168,Nagpur,440002,2024-07-01,2024-07-02,Delayed,BlueDart,Customer Unavailable,24.0,21.1466,79.0849
PKG169,Nagpur,440002,2024-06-28,2024-06-29,Delayed,Delhivery,Weather,24.0,21.1466,79.0849
PKG170,Nashik,422003,2024-06-08,2024-06-11,Delivered,BlueDart,,72.0,20.005,73.795
PKG171,Nashik,422001,2024-06-22,2024-06-25,Delivered,BlueDart,,72.0,19.9975,73.7898
PKG172,Nagpur,440002,2024-06-10,2024-06-12,Delivered,Delhivery,,48.0,21.1466,79.0849
PKG173,Nashik,422002,2024-06-01,2024-06-04,Failed,XpressBees,,72.0,20.002,73.79
PKG174,Nagpur,440001,2024-06-22,2024-06-24,Delivered,BlueDart,,48.0,21.1458,79.0882
PKG175,Nashik,422004,2024-06-06,2024-06-09,Delayed,BlueDart,Address Not Found,72.0,20.01,73.8
PKG176,Nagpur,440004,2024-06-28,2024-06-29,Delivered,BlueDart,,24.0,21.16,79.1
PKG177,Nashik,422002,2024-06-26,2024-06-29,Delivered,BlueDart,,72.0,20.002,73.79
PKG178,Nagpur,440001,2024-06-02,2024-06-05,Delivered,BlueDart,,72.0,21.1458,79.0882
PKG179,Nagpur,440001,2024-06-08,2024-06-10,Delayed,XpressBees,Traffic,48.0,21.1458,79.0882
PKG180,Nashik,422002,2024-06-12,2024-06-14,Delivered,BlueDart,,48.0,20.002,73.79
PKG181,Nashik,422004,2024-06-21,2024-06-22,Delivered,XpressBees,,24.0,20.01,73.8
PKG182,Nagpur,440003,2024-06-11,2024-06-13,Delivered,BlueDart,,48.0,21.15,79.09
PKG183,Nagpur,440001,2024-06-25,2024-06-28,Delayed,BlueDart,Address Not Found,72.0,21.1458,79.0882
PKG184,Nashik,422003,2024-06-23,2024-06-25,Delivered,Delhivery,,48.0,20.005,73.795
PKG185,Nashik,422001,2024-06-26,2024-06-27,Delayed,Delhivery,Customer Unavailable,24.0,19.9975,73.7898
PKG186,Nagpur,440004,2024-06-08,2024-06-11,Delivered,XpressBees,,72.0,21.16,79.1
PKG187,Nagpur,440003,2024-06-29,2024-07-02,Delayed,XpressBees,Weather,72.0,21.15,79.09
PKG188,Nagpur,440004,2024-06-11,2024-06-12,Delayed,Delhivery,Customer Unavailable,24.0,21.16,79.1
PKG189,Nashik,422004,2024-06-26,2024-06-28,Delayed,XpressBees,,48.0,20.01,73.8
PKG190,Nagpur,440004,2024-06-18,2024-06-20,Delayed,Delhivery,,48.0,21.16,79.1
PKG191,Nashik,422002,2024-06-21,2024-06-22,Delayed,BlueDart,Address Not Found,24.0,20.002,73.79
PKG192,Nashik,422002,2024-06-05,2024-06-06,Delivered,Delhivery,,24.0,20.002,73.79
PKG193,Nagpur,440001,2024-06-30,2024-07-02,Delivered,XpressBees,,48.0,21.1458,79.0882
PKG194,Nashik,422003,2024-06-05,2024-06-07,Delivered,Ekart,,48.0,20.005,73.795
PKG195,Nashik,422003,2024-06-11,2024-06-12,Failed,Ekart,Weather,24.0,20.005,73.795
PKG196,Nashik,422002,2024-06-30,2024-07-02,Delivered,Delhivery,,48.0,20.002,73.79
PKG197,Nagpur,440003,2024-06-27,2024-06-30,Delivered,Delhivery,,72.0,21.15,79.09
PKG198,Nashik,422001,2024-06-23,2024-06-26,Failed,BlueDart,Holiday,72.0,19.9975,73.7898
PKG199,Nagpur,440004,2024-06-18,2024-06-19,Delayed,Delhivery,Holiday,24.0,21.16,79.1
PKG200,Nagpur,440002,2024-06-08,2024-06-10,Delayed,XpressBees,Holiday,48.0,21.1466,79.0849
PKG201,Nagpur,440001,2024-06-24,2024-06-25,Delayed,Delhivery,,24.0,21.1458,79.0882
PKG202,Nagpur,440001,2024-06-20,2024-06-21,Delivered,Delhivery,,24.0,21.1458,79.0882
PKG203,Nagpur,440002,2024-06-08,2024-06-10,Delivered,Ekart,,48.0,21.1466,79.0849
PKG204,Nashik,422003,2024-06-25,2024-06-26,Delivered,BlueDart,,24.0,20.005,73.795
PKG205,Nashik,422003,2024-06-22,2024-06-25,Delayed,XpressBees,Address Not Found,72.0,20.005,73.795
PKG206,Nashik,422002,2024-06-12,2024-06-13,Delivered,XpressBees,,24.0,20.002,73.79
PKG207,Nagpur,440004,2024-06-15,2024-06-16,Delivered,XpressBees,,24.0,21.16,79.1
PKG208,Nagpur,440002,2024-07-01,2024-07-02,Delayed,Ekart,Address Not Found,24.0,21.1466,79.0849
PKG209,Nashik,422004,2024-06-10,2024-06-13,Delivered,Delhivery,,72.0,20.01,73.8
PKG210,Nagpur,440003,2024-06-22,2024-06-23,Delivered,Delhivery,,24.0,21.15,79.09
PKG211,Nashik,422001,2024-06-08,2024-06-11,Delivered,Ekart,,72.0,19.9975,73.7898
PKG212,Nashik,422002,2024-06-03,2024-06-04,Delivered,Ekart,,24.0,20.002,73.79
PKG213,Nagpur,440003,2024-06-02,2024-06-05,Delivered,BlueDart,,72.0,21.15,79.09
PKG214,Nagpur,440002,2024-06-05,2024-06-06,Delivered,BlueDart,,24.0,21.1466,79.0849
PKG215,Nagpur,440001,2024-06-25,2024-06-28,Delivered,Ekart,,72.0,21.1458,79.0882
PKG216,Nashik,422004,2024-06-17,2024-06-19,Delivered,Delhivery,,48.0,20.01,73.8
PKG217,Nashik,422003,2024-06-11,2024-06-14,Delayed,Ekart,Address Not Found,72.0,20.005,73.795
PKG218,Nagpur,440001,2024-06-14,2024-06-16,Delivered,XpressBees,,48.0,21.1458,79.0882
PKG219,Nagpur,440004,2024-06-13,2024-06-16,Delivered,BlueDart,,72.0,21.16,79.1
PKG220,Nagpur,440003,2024-06-02,2024-06-04,Delivered,XpressBees,,48.0,21.15,79.09
PKG221,Nagpur,440002,2024-06-23,2024-06-24,Delayed,XpressBees,,24.0,21.1466,79.0849
PKG222,Nagpur,440004,2024-06-06,2024-06-07,Delivered,Ekart,,24.0,21.16,79.1
PKG223,Nashik,422004,2024-06-07,2024-06-08,Delivered,Delhivery,,24.0,20.01,73.8
PKG224,Nashik,422004,2024-06-09,2024-06-10,Delayed,Delhivery,Weather,24.0,20.01,73.8
PKG225,Nagpur,440003,2024-06-28,2024-06-29,Delivered,BlueDart,,24.0,21.15,79.09
PKG226,Nagpur,440003,2024-06-17,2024-06-19,Delayed,XpressBees,Address Not Found,48.0,21.15,79.09
PKG227,Nashik,422002,2024-07-01,2024-07-02,Delivered,Ekart,,24.0,20.002,73.79
PKG228,Nagpur,440002,2024-06-18,2024-06-19,Delivered,Delhivery,,24.0,21.1466,79.0849
PKG229,Nagpur,440004,2024-06-19,2024-06-22,Delivered,Ekart,,72.0,21.16,79.1
PKG230,Nagpur,440001,2024-06-26,2024-06-27,Delivered,BlueDart,,24.0,21.1458,79.0882
PKG231,Nashik,422003,2024-06-26,2024-06-27,Delayed,Delhivery,Traffic,24.0,20.005,73.795
PKG232,Nagpur,440001,2024-06-01,2024-06-04,Delivered,BlueDart,,72.0,21.1458,79.0882
PKG233,Nagpur,440004,2024-07-01,2024-07-02,Delayed,Delhivery,Address Not Found,24.0,21.16,79.1
PKG234,Nashik,422004,2024-06-13,2024-06-16,Delayed,Delhivery,,72.0,20.01,73.8
PKG235,Nashik,422004,2024-06-27,2024-06-30,Delivered,Delhivery,,72.0,20.01,73.8
PKG236,Nashik,422003,2024-06-30,2024-07-01,Delivered,Delhivery,,24.0,20.005,73.795
PKG237,Nashik,422004,2024-06-12,2024-06-14,Delayed,BlueDart,,48.0,20.01,73.8
PKG238,Nagpur,440002,2024-06-30,2024-07-01,Delivered,Delhivery,,24.0,21.1466,79.0849
PKG239,Nashik,422002,2024-06-07,2024-06-08,Delivered,Ekart,,24.0,20.002,73.79
PKG240,Nagpur,440004,2024-06-08,2024-06-09,Delayed,XpressBees,Holiday,24.0,21.16,79.1
PKG241,Nagpur,440003,2024-06-18,2024-06-21,Delayed,Delhivery,Address Not Found,72.0,21.15,79.09
PKG242,Nagpur,440002,2024-06-21,2024-06-23,Delivered,XpressBees,,48.0,21.1466,79.0849
PKG243,Nashik,422001,2024-06-28,2024-07-01,Failed,Ekart,Holiday,72.0,19.9975,73.7898
PKG244,Nashik,422003,2024-06-05,2024-06-07,Delivered,Delhivery,,48.0,20.005,73.795
PKG245,Nagpur,440001,2024-06-29,2024-06-30,Delivered,BlueDart,,24.0,21.1458,79.0882
PKG246,Nashik,422003,2024-06-08,2024-06-11,Delivered,Ekart,,72.0,20.005,73.795
PKG247,Nagpur,440001,2024-07-01,2024-07-04,Delivered,BlueDart,,72.0,21.1458,79.0882
PKG248,Nagpur,440003,2024-06-18,2024-06-20,Delivered,Ekart,,48.0,21.15,79.09
PKG249,Nashik,422003,2024-06-14,2024-06-17,Delivered,BlueDart,,72.0,20.005,73.795
PKG250,Nashik,422001,2024-06-29,2024-07-02,Delayed,Delhivery,Weather,72.0,19.9975,73.7898
PKG251,Nagpur,440002,2024-06-18,2024-06-21,Delayed,BlueDart,Customer Unavailable,72.0,21.1466,79.0849
PKG252,Nagpur,440001,2024-06-02,2024-06-04,Failed,BlueDart,Weather,48.0,21.1458,79.0882
PKG253,Nagpur,440001,2024-06-11,2024-06-14,Delivered,Delhivery,,72.0,21.1458,79.0882
PKG254,Nashik,422003,2024-06-26,2024-06-29,Delivered,BlueDart,,72.0,20.005,73.795
PKG255,Nashik,422001,2024-06-22,2024-06-25,Delivered,Delhivery,,72.0,19.9975,73.7898
PKG256,Nashik,422002,2024-06-24,2024-06-26,Delivered,Ekart,,48.0,20.002,73.79
PKG257,Nagpur,440003,2024-06-15,2024-06-17,Delivered,Ekart,,48.0,21.15,79.09
PKG258,Nagpur,440003,2024-06-23,2024-06-26,Delivered,BlueDart,,72.0,21.15,79.09
PKG259,Nashik,422001,2024-06-18,2024-06-20,Delivered,XpressBees,,48.0,19.9975,73.7898
PKG260,Nagpur,440001,2024-06-12,2024-06-15,Delayed,Ekart,,72.0,21.1458,79.0882
